,name,price,image_url,description,size,brand,rating,review
0,Havit Wireless Mouse,KSh 680,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/51/6392902/1.jpg?0129,"Wireless technology : 2.4GHzWireless distance : 8mSize : 104.5*57*37.5mmkey number : 3Resolution :1200DPIKey life : 3,000,000 timesPower supply : 1*AA(Alkaline batteries are recommended)",Wireless Mouse Black,Havit,0 out of 5,
1,Qwen 53A Q7553a LaserJet Toner Cartridge-Black (53A),"KSh 1,100",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/33/552573/1.jpg?7548,Brand:QwenColor: BlackCompatible model: HP Q7553A(CRG715/315/515/115)Page Yield: 3000 pagesFeature:Compatible laser toner cartridgeUse for: HP LaserJet P2015/2015d/2015dn/2015n/2015x/M2727,,Qwen,3.7 out of 5,Good ????
2,Logitech Wired Mouse M90 Black USB,KSh 899,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/38/6649911/1.jpg?4812,USB wired interfaceAmbidextrous layout1000DPI format2 buttons and a scroll,,Logitech,5 out of 5,Loved the mouse
3,"Lenovo Ideapad 1-12th Gen Intel Core I5-8GB RAM-512GB SSD-Windows 11 Pro-14"" HD-Grey (1YR WRTY)","KSh 74,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/70/5432291/1.jpg?1569,"Display: 14"" HD (1366x768)Processor: 12th Generation Intel Core i5-1235UMemory: 8GB Soldered DDR4-3200Storage: 512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®Wi-Fi, Webcam, Bluetooth",512GB SSD,Lenovo,0 out of 5,
4,Annov USB Flash Drive Metal  USB2.0-32GB + Christ Gift,KSh 599,https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/92/840184/1.jpg?6714,Not Available,,Annov,4.3 out of 5,Excellent | Spacious and works well | The USB drive is a genuine one
5,HP Spectre X360 14-ef2013dx-13th Gen Intel Core I7-16GB RAM+512GB SSD-FINGERPRINT READER (1YR WRTY),"KSh 195,000",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/78/2980651/1.jpg?8607,"Display: 13.5"", WUXGA+ (1920 x 1280) TOUCHSCREENProcessor: Intel Core i7-1355UStorage: 512GB SSDMemory: 16GB RAMOS: Windows 11 HomeFingerprint ReaderBluetooth, WiFi, Webcam",,HP,0 out of 5,
6,"Dahua 128GB NVMe M.2 PCIe Gen3x4 SSD-Internal Desktop/Laptop Solid State Drive, 1YR WRTY","KSh 2,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/8192961/1.jpg?9560,"Capacity: 128GBForm Factor: M.2 2280 Port: PCIe Gen 3.0 × 4Supports PCIe3.0x4 and NVMe 1.3 protocol. Supports LDPC ECC to enhance data reliability.View information through S.M.A.R.T. Adopts high-quality 3D NAND wafer level chip and with 4K LDPC technology, the program-erase cycle is effectively improved to extend service time.Supports TRIM to improve read/write performance and speed.Low power consumption management.",D_128gb nvme,Dahua,0 out of 5,
7,"Asta 100ml Universal Printer Refill Ink - 4Pc Set (B,C,Y,M)","KSh 1,390",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/12/3360871/1.jpg?6894,"Set of 4 of the most-common printer colours - Black, Cyan, Yellow & Magenta.Universally used to refill any inkjet printer from EPSON, HP, CANON or BROTHER.Best Quality Universal printer refill ink from ASTA.Packaged in 100ml bottle and heat-sealed in tamper-proof & leak-proof polythene bag.Prints > 1,000 pages for each colour.",4-Colour-Set,Asta,5 out of 5,
8,"Epson EcoTank L3210 A4 Printer (All-in-One), 1YR WRTY","KSh 26,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/2788211/1.jpg?0954,"Multifunction printer Print, copy & scanUltra-low-cost printing Save up to 90% on printing costsUp to 3 years of ink in the box Includes 8,100 pages in black and 6,500 in colourHassle-free ink tank system Enjoy mess-free refills with key-lock bottles and front-facing tanks",,Epson,4.4 out of 5,"It doesn't scan neither has wireless WIFI possibility. Hence cann't print remotely. | Thanks Jumia. 
I received as expected ✔️????
I did the setting and instalation without any problem.
Its my first time am using EPSON and I hope it will be helpful. | splendid"
9,"Dahua 256GB NVMe M.2 PCIe Gen3x4 SSD-Internal Desktop/Laptop Solid State Drive, 1YR WRTY","KSh 3,999",https://ke.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/8992961/1.jpg?9082,"Capacity: 256GBForm Factor: M.2 2280 Port: PCIe Gen 3.0 × 4Supports PCIe3.0x4 and NVMe 1.3 protocol. Supports LDPC ECC to enhance data reliability.View information through S.M.A.R.T. Adopts high-quality 3D NAND wafer level chip and with 4K LDPC technology, the program-erase cycle is effectively improved to extend   service time.Supports TRIM to improve read/write performance and speed.Low power consumption management.",D_256 nvme,Dahua,5 out of 5,
