,title,link,pubDate,description,DateFetched,source
0,"Independent Candidate Enters Ladakh Polls, Makes It 3-Corner Fight",https://www.ndtv.com/india-news/independent-candidate-enters-ladakh-polls-makes-it-3-corner-fight-5647830,2024-05-12,"The Congress has won Leh the highest number of times - six (Representational)
What should have been a direct contest between the BJP and the Congress in the Ladakh Lok Sabha constituency is now a three-corner fight with an alliance of local groups fielding an Independent to challenge the national parties.
The seat, the largest in the country in terms of area (173.266 square kilometers), goes to polls on May 20 -- the first major electoral battle in the region after it was carved out of Jammu and Kashmir and granted Union Territory status in 2019. While the BJP has fielded Tashi Gyalson, chief executive councilor-cum-chairman of the Ladakh Autonomous Hill Development Council (Leh), from the seat after dropping sitting MP Jamyang Tsering Namgyal, the Congress has nominated Tsering Namgyal as its candidate. Springing a surprise, the Kargil Democratic Alliance (KDA) fielded Haji Haneefa Jan, the Kargil district president of the National Conference (NC), which like the Congress is a constituent of the INDIA bloc.
The Congress has won the seat for the highest number of times -- six -- and had fielded Tsering Namgyal, the leader of opposition in the LAHDC, according to an agreement with the NC, as they were members of the INDIA bloc and the Leh Apex Body (LAB).

It was the LAB and the KDA that were spearheading the agitation in support of various demands of the Ladhaki people, including statehood and sixth schedule of the Constitution, for the past four years. But it hit a block in March after the BJP-led Centre did not agree with the demands.
However, now with the KDA fielding Jan, the challenges for the Congress as well as the BJP has increased in this seat that has more than 1.84 lakh voters -- a majority (95,926) in Muslim-dominated Kargil district and 88,877 in Leh district. The resentment against the BJP over its government at the Centre not fulfilling the demands is palpable and the party, which is eyeing a third consecutive term from Ladakh, has rushed Union Minister Kiren Rijiju to handle the situation. He arrived in the Union Territory (UT) on Saturday.
The agitation had intensified on March 6 with Leh observing a complete shutdown followed by a 66-day hunger strike which was suspended three days ago in view of the Lok Sabha elections. Renowned educationist and social reformer Sonam Wangchuk, who was also part of it, ended his 21-day hunger strike on March 26.
Talking to reporters after arriving here on Saturday, Kiren Rijiju said, ""...all the big demands of the people can only be fulfilled by the central government. I have come here to convey the message that any pending issue will be resolved by the (Narendra) Modi government alone."" Seeking cooperation and support of the people of Ladakh, Kiren Rijiju said it is imperative for the BJP to win the seat because ""if we lose the elections, we will be sad after doing so much for the region over the years, including fulfilling the dream of UT status"". He said it is the right of the people to raise their issues and ""it is our responsibility to safeguard the future of Ladakh which is a very sensitive and fragile region having distinct culture, traditional practices, customs and language..."".
Thupstan Chhewang won the seat for the BJP for the first time in 2014. However, he resigned from the party's basic membership in 2018 and is currently heading the LAB.
The BJP managed to retain the seat in 2019 with Jamyang Tsering Namgyal, who was denied the ticket by the party this time and who openly revolted against the decision. However, he joined the campaigning for Gyalson after being persuaded by the BJP leadership.
Trouble for the Congress candidate started when the KDA unanimously decided to field Jan as an Independent and also persuaded two others, who were contesting as Independents, to withdraw their candidature in his support.
The entire NC unit of Kargil resigned from the party on May 6 to revolt against the its leadership for ""putting pressure"" on them to support INDIA bloc candidate Tsering Namgyal instead of Jan. The NC has won the seat twice in the past, while independents have won it thrice.
After attaining UT status, Ladakh witnessed elections to both Leh and Kargil chapters of the LAHDC in October 2020 and 2023, respectively.
While the BJP retained power in the Leh hill council elections by winning 15 seats -- five short of its 2015 election tally, the Congress increased its tally from six to nine seats while two seats went to Independents.
In the Kargil hill council elections, the NC-Congress combine won 22 seats against two by the BJP and two by Independents. The NC on its own got 12 seats and the Congress 10.
Amid intensified Lok Sabha poll campaigning, which also saw several BJP leaders, including national general secretary Tarun Chugh, reaching out to the voters, Gyalson had said his primary focus will be resumption of dialogue between the Centre and the Ladakh leadership for resolution of ""pending issues"".
""My primary focus will be resumption of stalled dialogue (between the Ladakh leadership and central government). I don't believe that the dialogue is derailed but because of the Model Code of Conduct, no headway has taken place. Once the new government is in place, I am sure about the resumption of the dialogue,"" he had said.
Congress candidate Tsering Namgyal said his party has taken a historic decision to include granting sixth schedule to Ladakh in its manifesto.
PromotedListen to the latest songs, only on JioSaavn.com
""We support the four-point demand of the LAB and the KDA and we will forcefully raise the demands within and outside Parliament to fulfill the aspirations of the people,"" he said.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2024-05-12 21:29:44.600480,NDTV
1,"""Our Governance Model Did Well, But Congress, Left..."": PM To NDTV At Rally",https://www.ndtv.com/india-news/lok-sabha-elections-2024-our-governance-model-did-well-but-congress-left-what-pm-narendra-modi-told-ndtv-at-bihar-rally-5647726,2024-05-12,"Gathering at a public meeting addressed by PM Narendra Modi in Hooghly on Sunday
Prime Minister Narendra Modi today told NDTV the model of governance shown by the BJP has been appreciated by people across the length and breadth of the nation.
During campaigning in Bihar, he told NDTV the nation has seen how the Congress, the Left, and their coalitions have fared poorly compared to the governance model followed by the National Democratic Alliance (NDA) government under his leadership.
""The BJP has given the country a governance model. The country has seen the Congress model, the Left model, the coalition model and the BJP-led NDA with complete majority. This is a dynamic, decisive and risk-taking government, and we are marching ahead on that,"" PM Modi said.

The Prime Minister's roadshow in Patna saw a massive crowd turning up to greet him. Standing atop a vehicle, modelled as a chariot, PM Modi was seen waving at a sea of people gathered on both sides of the road.
The 2.5-km long roadshow that began at 7.15 pm from Bhattacharya Road-Pirmuhani crossing ended at Udyog Bhavan near Gandhi Maidan.
PM Modi was accompanied by Bihar Chief Minister Nitish Kumar, Deputy Chief Minister Samrat Chaudhary, and BJP candidate from Patna Sahib Lok Sabha seat Ravi Shankar Prasad.
PM Modi will stay the night at the Raj Bhavan.
On Monday, the Prime Minister is scheduled to visit Takht Harmandir, the famous Sikh shrine, situated in the old city area, where Guru Gobind Singh was born and spent his childhood.
Later in the day, he will address three election rallies in Hajipur, Muzaffarpur, and Saran.
The 40 seats in Bihar are undergoing polls in all seven phases. In 2019, BJP-led NDA swept the state by winning 39 out of 40 seats, while Congress won just one seat. Lalu Yadav's RJD, a formidable force in the state, failed to open its account.
PromotedListen to the latest songs, only on JioSaavn.com
The Mahagathbandhan (Grand Alliance), the opposition coalition in Bihar, including Rashtriya Janata Dal (RJD), Congress, and Left parties, have announced that the RJD, its largest constituent, will contest 26 seats. . The Congress will contest nine seats, followed by CPI(ML) 3 and CPI and CPI(M) one each.
As part of the NDA, BJP and JD(U) will contest on 17 and 16 seats, respectively. Chirag Paswan's Lok Janshakti Party (Ram Vilas) has got five seats and Jitan Ram Manjhi's Hindustani Awam Morcha (HAM) and the Rashtriya Lok Morcha will contest one seat each.",2024-05-12 21:29:44.600480,NDTV
2,"Mother's Day 2024: Sara Ali Khan And Ibrahim's Post For Amrita Singh - ""Our Whole World""",https://www.ndtv.com/entertainment/mothers-day-2024-sara-ali-khan-and-ibrahims-post-for-amrita-singh-our-whole-world-5647660,2024-05-12,"Sara Ali Khan shared this image. (courtesy: SaraAliKhan)
On the occasion of Mother's Day, Sara Ali Khan and Ibrahim Ali Khan shared a joint post dedicated to their ""whole world"" - mother Amrita Singh. The picture is a throwback one. In the picture, Amrita Singh and Sara Ali Khan can be seen holding baby Ibrahim. They can be seen posing for the camera adorably. Sharing the picture, Sara and Ibrahim wrote, ""Happy Mother's Day to our whole world."" Sara and Ibrahim's aunt Saba Pataudi wrote, ""Mahsha Allah! Happiest mothers day to you too! If anyone protects iggy like a mother, it's you."" The Internet also found uncanny resemblance between Kareena Kapoor's younger son Jeh and baby Ibrahim. A comment read, ""Ibrahim looks like little Jeh Baba."" Another comment read, ""I think Ibrahim looks so similar to Jeh."" Another user dropped a series of love emojis in the comments section. Take a look at the post here:
A post shared by Sara Ali Khan (@saraalikhan95)
Last year, Sara Ali Khan came to Koffee With Karan 8 with Ananya Panday. Karan Johar introduced the mothers as ""influential"" and ""influencing"" on the show and asked them if their involvement in their daughters' lives is ""overbearing"" at times. To this, Sara replied, ""I don't think overbearing is the right word. Like I said, in this world, it's all about balancing. That little reality, the mirror (pun intended, because I do look like her), that situation is necessary, for sure. If I can be extra honest and say, the only pressure of having mom as mom is she is the epitome of strength. She is just such a solid person that sometimes the fear of not matching the level of that strength just gets to me and sometimes it's also important in this life and in this job to have a sense of who you are.""
PromotedListen to the latest songs, only on JioSaavn.com
Sara continued, ""Making mom proud is definitely 99.99 of my motivations in life but I don't know if that's the healthiest thing. I have to be able to start doing things for myself. I want to be a mom one day. I need to have a stronger sense of myself, external to my mom because she is superb but we are different people. I might not have that level of strength, that much of clarity. And even constantly comparing can bring myself down which I can do.""
Sara Ali Khan often shares pictures with her mother on social media. She was accomapanied by Amrita Singh to her Europe trip. Sharing a selfie with her mom from London, Sara wrote in the caption, ""Villains in Villayat. Kabhi workout ya coffee Kabhi breaking diet. But all the while- my bright bold colours causing a riot. May mommy and me always paint the town red- that's my true Aayat."" Take a look:
A post shared by Sara Ali Khan (@saraalikhan95)
Meanwhile, Ibrahim Ali Khan made his Instagram debut a couple of weeks ago. He assisted Karan Johar in the film Rocky Aur Rani Kii Prem Kahaani.",2024-05-12 21:29:44.600480,NDTV
3,"Punjab Police Busts Drug Racket, Recovers Rs 84 Lakh",https://www.ndtv.com/india-news/punjab-police-busts-drug-racket-recovers-rs-84-lakh-5647616,2024-05-12,"""Jalandhar's Commissionerate Police scores big in anti-drug efforts!"" Gaurav Yadav posted on X.
Punjab Police led by Commissioner of Police Swapan Sharma have busted a drug racket and recovered drug money of Rs 84 lakh, along with luxury vehicles and a truck from 13 members arrested in the 48-kg heroin case, Director General of Police Gaurav Yadav said on Sunday.
He wrote on X that the accused were involved in various roles in the drug network such as suppliers, purchasers, and hawala operators.
""Jalandhar's Commissionerate Police scores big in anti-drug efforts!"" he posted on X.

PromotedListen to the latest songs, only on JioSaavn.com
""Acting on the forward and backward linkages of 48 Kg Heroin case, Additional seizure of rs 84 lakhs drug money made along with luxury vehicles & a truck from 13 syndicate members arrested, they were involved in various roles of the the drug network acting as suppliers, purchasers, hawala operators. Kudos to @PunjabPoliceInd for their unwavering commitment to keeping our streets safe! #DrugBust #JalandharPolice,"" read the post.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2024-05-12 21:29:44.600480,NDTV
4,"""Empowerment Of Women Is My Commitment"": PM Modi Exclusive",https://www.ndtv.com/india-news/empowerment-of-women-is-my-commitment-pm-modi-exclusive-5647602,2024-05-12,"PM Modi spoke to NDTV during a roadshow in Patna this evening
The empowerment of women is his commitment and women need to be provided opportunities to go beyond the traditional roles they are associated with, Prime Minister Narendra Modi told NDTV in an exclusive interview today. The Prime Minister spoke to NDTV on the sidelines of a roadshow in Patna along with Bihar Chief Minister Nitish Kumar.
Asked if he is confident of women voters supporting the BJP, the Prime Minister replied, ""The empowerment of women is my commitment. I have taken a lead in the G20 Summit - women-led development. For this, we must provide opportunities to women. They have to go beyond the traditional roles we associate them with. For example, we launched the 'Drone Didi' initiative in villages.""
""We opened the doors of the Army (for women), made them Air Force pilots. We sent them to the borders, now our daughters are defending the country in Siachen. I have succeeded in bringing about a psychological change. Women power will boost the country's development journey and speed it up,"" the Prime Minister added.

The Prime Minister said the country has resolved to take the NDA beyond the 400-seats mark in this election. ""The atmosphere of Bihar is the same as the rest of the country,"" he said.
On a question on the BJP's prospects in east India, the Prime Minister recounted a 2013 speech. ""I was not even the PM candidate then. I had said that if we want to develop India, we must make East India the growth engine. In the last 10 years, I have consistently put emphasis on projects in east India related to infrastructure, education and health. As far as the election is concerned, there is a storm. In east India, we will get better results than before. I believe people will be surprised,"" he said.
In the 2019 election, the NDA alliance, comprising BJP, JDU and Ram Vilas Paswan's LJP, had won 39 out of Bihar's 40 seats. ""I have spoken to our friends. We lost one seat last time. This time, we may not lose even one,"" the Prime Minister said.
PromotedListen to the latest songs, only on JioSaavn.com
After holding back-to-back rallies in West Bengal earlier in the day, the Prime Minister reached Patna and led a roadshow with Chief Minister Kumar. The 2.5-km roadshow started around 7.15 pm. Besides Mr Kumar, Deputy Chief Minister Samrat Chaudhary and BJP's Patna Sahib candidate Ravi Shankar Prasad accompanied the Prime Minister.
The Prime Minister will stay the night at Raj Bhavan in Patna. Tomorrow, he will be visiting Takht Harmandir, a Sikh shrine in Patna, before heading to poll rallies in Hajipur, Muzaffarpur and Saran.",2024-05-12 21:29:44.600480,NDTV
5,"NDTV Exclusive - Bihar Story, '400 Paar', Women Empowerment: PM Modi's Top Quotes",https://www.ndtv.com/india-news/lok-sabha-elections-2024-prime-minister-narendra-modi-speaks-to-ndtv-exclusive-5647571,2024-05-12,"Empowerment of women is my committment, PM Modi told NDTV.
Prime Minister Narendra Modi spoke to NDTV on a range of topics - the Bihar plan, '400 paar' promise and women empowerment - on his campaign trail in Patna today. The Prime Minister, exuding confidence, said that the BJP lost one seat in 2019 but ""we won't lose any this time"". The NDTV exclusive comes a day ahead of phase four of Lok Sabha elections 2024.  Five Lok Sabha seats in Bihar will go to polls on Monday, when 95 lakh voters will decide the electoral fate of 55 candidates, including two Union ministers.
Here are PM Modi's top quotes from the interview:

PromotedListen to the latest songs, only on JioSaavn.com",2024-05-12 21:29:44.600480,NDTV
6,"""We Lost One Seat In 2019, We Won't Lose Any This Time"": PM Modi To NDTV On Bihar",https://www.ndtv.com/india-news/we-lost-one-seat-in-2019-we-wont-lose-any-this-time-pm-modi-to-ndtv-on-bihar-5647554,2024-05-12,"The BJP is contesting 17 Lok Sabha constituencies in Bihar this time.
Holding a roadshow with NDA ally and Bihar Chief Minister Nitish Kumar in Patna, Prime Minister Narendra Modi has exuded confidence that the ruling coalition will do even better in the state than in the 2019 Lok Sabha elections and could even win the only constituency it had lost last time.
Speaking exclusively to NDTV during the roadshow on Sunday, the Prime Minister predicted a clean sweep for the alliance in Bihar and said in Hindi, ""I have spoken to our allies in Bihar. We had lost one seat (in 2019) and we may not lose even one this time.""
Stating that he has strong connections with the state and its people, PM Modi said, ""I have come here very often for organisational work and have visited different parts of the state. I have very old connections here.""

The Prime Minister said he has been to almost every state and there is a strong resolve all over the country to ensure the BJP and the NDA achieve their target of winning over 400 seats.
""Bihar has infused this resolve with new colours. It has given it new strength. The atmosphere across the country is mirrored in Bihar too,"" he said.
Bihar will be crucial for both the NDA and the INDIA alliance because, at 40, it sends the fourth-highest number of MPs to the Lok Sabha.  The opposition alliance was jolted earlier this year after Bihar Chief Minister and Janata Dal United chief Nitish Kumar switched sides yet again and went back to the NDA.
In the 2019 elections, the BJP and the Janata Dal United had contested 17 seats each while the undivided Lok Janshakti Party had fought six. The BJP and the LJP had achieved victory in all the seats in their quota while Nitish Kumar's JDU had lost one. The Kishanganj constituency was won by the Congress and Lalu Yadav's Rashtriya Janata Dal had drawn a blank.
PromotedListen to the latest songs, only on JioSaavn.com
In the seat-sharing arrangement for this year's elections, the BJP has the upper hand and is contesting 17 seats while the JDU has got 16. Chirag Paswan's Lok Janshakti Party (Ram Vilas) has been allotted five seats and Jitan Ram Manjhi's Hindustani Awam Morcha (HAM) and Upendra Kushwaha's Rashtriya Lok Morcha will contest one seat each.
The Mahagathbandhan (Grand Alliance), the opposition coalition in Bihar which is also part of the INDIA alliance at the Centre, has given the bulk of the seats - 26 - to the RJD. The Congress will contest nine seats, the CPI(ML) 3 and the CPI and CPM one each.",2024-05-12 21:29:44.600480,NDTV
7,"''Was Shaking'': Woman Chased By 4 Men In SUV On Punjab Highway, Shares Video",https://www.ndtv.com/india-news/was-shaking-woman-chased-by-4-men-in-suv-on-punjab-highway-shares-video-5647544,2024-05-12,"Many internet users asked her to lodge an official complaint with the police.
In a harrowing incident, a woman from Punjab has recounted how she was chased by four men in an SUV on National Highway 1. Harmeen Soch, a teacher by profession, was driving between Dhilwan and Subhanpur on the Punjab highway when the incident occurred. In a tweet on X, Ms Soch described the ordeal as a ''cat and mouse game'', and wrote how four men in a Scorpio chased her for 7 kilometres on on National Highway 1. In between the chase, she stopped at a petrol pump to let the men get ahead of her. However, the men allegedly halted somewhere on the road too, because she saw them catch up with her again.
Sharing a video of the car in front of her vehicle, she wrote, ''Cat and mouse game for 7km. Couldn't get these 4 men in Scorpio off of my back. Either they were tailgating or slowing right ahead inhibiting my drive. In between I made a stop at the petrol pump to let them move on. They must have halted somewhere on the road too as I saw them catch up with me again.''
Ms Soch then shared how she managed to outwit them and escape. ''Finally, I slowed down because speeding up on the highway was nerve-wracking. With speed now less than 50 kmph on NH1 which limits speed to 100 kmph (as in the video), I am thinking about whether to call the police or keep moving. Thought I'd try speeding up one more time as my slip road was coming up ahead. They sped up again to slow me down and I turned left at the last moment without indicator which resulted in them going on the elevated road and I on the slip road,'' she wrote further.

Cat and mouse game for 7km. Couldn't get these 4 men in Scorpio off of my back. Either they were tailgating or slowing right ahead inhibiting my drive. In between I made a stop at petrol pump to let them move on. They must have halted somewhere on road too as I saw them catch up… pic.twitter.com/GKsIVNztih


''As I heaved a sigh of relief I realized I was shaking in my knees with my heartbeat in my mouth. What is entertainment for a few men can be a trauma for women for many days. Not sure whether men realize that or not,'' she added.
She also noted that there was nothing she did that might have instigated the four men.
The video which has gone viral on social media, has yet again ignited a conversation about women's safety on Indian roads. Many internet users asked her to lodge an official complaint with the police.
PromotedListen to the latest songs, only on JioSaavn.com
One user wrote, ''Hope you noted the Veh Regn No? Pls lodge a FIR re harassment & endangering safety at your nearest Police Station. Better still if you have dash cam att footage as evidence. If not already done get a good quality dash cam installed in the car. Lastly get a Licenced Pers wpn.''
Another commented, ''Must have been harrowing… Unfortunately with our desi ego mindset these incidents are normalised. Highway Patrols are nowhere to be found. An DDR afterwards is futile; nothing happens.''
A third added, ''Not sure about the social media support but stopping the car in a side, without opening the door, starting a FB/Insta live and sharing your ordeal with netizens would have probably alerted the authorities!''",2024-05-12 21:29:44.600480,NDTV
8,"""If We Have To Develop India, We Have To Develop East India"": PM Modi Exclusive",https://www.ndtv.com/india-news/exclusive-pm-modi-speaks-to-ndtv-while-campaigning-in-bihar-watch-live-5647510,2024-05-12,"Prime Minister Narendra Modi, in an exclusive interview with NDTV today, said the BJP will expand its footprint hugely in eastern India this time, which would take the NDA easily over the 400-seat mark. In the overarching interview, he also spoke of the governance model of the BJP, and his commitment to women's empowerment.
Asked about a BJP upswing in eastern India, the Prime Minister spoke about the special focus on the zone to develop it as the country's growth engine.
""If you listen to my 2013 speech, I had mentioned then, when I was not even the PM candidate, that if we want to develop India we have to make East India the growth engine,"" he said while holding a roadshow in Patna.

Asked if the election would be a referendum on the BJP's governance model, PM Modi said, ""The BJP has given the nation a governance model. The nation has seen the Congress, Left, coalition, others. The country has seen the risk taking government and based on that we are going ahead"".
Underscoring the BJP's achievements in the fields of health and infrastructure, PM Modi said the results ""in the east will reflect that"". It will come as a surprise to the people, he added. ""Like in Telangana, Odisha, Bengal, in Bihar Jharkhand, Assam. I can see, BJP will add new areas,"" he said.
The 370-seat target for the BJP and the 400-seat target for the NDA, implies that the BJP and its allies will have to expand their dominance beyond the Hindi heartland. Southern states other than Karnataka and eastern states like Bengal and Odisha have long been the BJP's target.
As for Bihar, where the Prime Minister held a roadshow today, the party is hoping to sweep the state. The BJP and ally Nitish Kumar's Janata Dal United will contest 17 and 16 seats.
PromotedListen to the latest songs, only on JioSaavn.com
The rest of the state's 40 seats have been divided between Chirag Paswan's Lok Janshakti Party (Ram Vilas), five seats. One seat each has gone to Jitan Ram Manjhi's Hindustani Awam Morcha (HAM) and the Rashtriya Lok Morcha.
Asked about women voters, PM Modi said, ""Empowerment of women is my commitment. We have to give opportunities to women... We have opened doors of Army. In Siachen, our daughters are guarding the nation. There has been a psychological change,"" he added.",2024-05-12 21:29:44.600480,NDTV
9,"""Relations With China Not Normal Because..."": S Jaishankar On Border Row",https://www.ndtv.com/india-news/relations-with-china-not-normal-because-s-jaishankar-on-ladakh-border-row-5647394,2024-05-12,"We need to resolve those issues if the relationship is to come back to normal, said S Jaishankar (File)
As the eastern Ladakh military standoff entered its fifth year, External Affairs Minister S Jaishankar said India hopes for a resolution of the remaining issues with China and asserted that a return to normal bilateral ties hinges on peace and tranquility at the border.
In an exclusive interview to PTI, S Jaishankar said the remaining issues mainly pertained to ""patrolling rights and patrolling abilities"".
Specifically asked when a resolution to the dragging row can be expected in the backdrop of Prime Minister Narendra Modi's remarks to Newsweek magazine last month, S Jaishankar said that he only provided a ""big-picture"" viewpoint on the matter.

""We would hope that there is a resolution of the remaining issues out there. These issues mainly pertain to patrolling rights and patrolling abilities there,"" he said.
""I would not link it to the prime minister's interview per se. I think the prime minister was giving a big-picture viewpoint and his big-picture viewpoint was a very reasonable viewpoint which is -- after all as neighbours, every country wants good relations with its neighbours,"" he said.
""But today, our relations with China are not normal because the peace and tranquility in the border areas has been disturbed. So he (PM) was expressing the hope that the Chinese side should realise that the present situation is not in its own interest,"" S Jaishankar said.
PM Modi had said that the border situation needs to be addressed urgently and that stable and peaceful ties between India and China are important for not just the two countries but for the entire region and world.
S Jaishankar said diplomacy is a work of patience and India continues to discuss the issues with the Chinese side.
""I would say that we need to resolve those issues if the relationship is to come back to normal,"" he said during the interview on Thursday.
The Indian and Chinese militaries have been locked in the standoff since May 2020 and a full resolution of the border row has not yet been achieved though the two sides have disengaged from a number of friction points.
India has been consistently maintaining that peace and tranquillity along the LAC were key for the normalisation of overall ties.
Asked why bilateral trade volume with China is going up when New Delhi has been insisting that the ties cannot be normal when the border situation is abnormal, S Jaishankar suggested that such a scenario has arisen as adequate attention to the manufacturing sector was not given before 2014.
""I think it is common sense that if there is no peace and tranquility in the border, how can you have a normal relationship,"" he said.
""After all if somebody is at your front door in an unfriendly manner, you are not going to go out there and act as though everything is normal. That to me is a straightforward proposition,"" S Jaishankar added.
The ties between the two countries nosedived significantly following the fierce clash in the Galwan Valley in June 2020 that marked the most serious military conflict between the two sides in decades.
In the diplomatic and military talks with China, the Indian negotiators have been insisting on restoring the status quo ante of April 2020 along the Line of Actual Control (LAC) in eastern Ladakh.
Defence Minister Rajnath Singh told PTI over a week back that the talks between the two sides are going on well and hoped for a resolution of the lingering row.
Following the Galwan Valley clashes, India has been majorly focusing on boosting its overall military capability along the frontier with China.
PromotedListen to the latest songs, only on JioSaavn.com
The Army has significantly bolstered the deployment of troops and weaponry along the nearly 3,500 km-long LAC, including in the Sikkim and Arunachal Pradesh sectors following the clashes.
(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)",2024-05-12 21:29:44.600480,NDTV
